Code,_id,Shop Name Tc,Shop Name En,DistrictTc,DistrictEn,Latitude,Longitude,Store.AddressTc,Store.AddressEn,Store.Is24Hours
1223,620,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.282617,114.156554,香港中環昭隆街9號地下1號鋪,"Shop 1, Ground Floor, No.9 Chiu Lung Street, Central, HK",FALSE
1400,758,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28107005,114.1594827,香港中環港鐵站非繳費區 CEN K7b號舖                           ,Kiosk No. CEN K7b at Unpaid Concourse of MTR Central Station,FALSE
497,180,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28537367,114.1584957,香港大嶼山及機場鐵路香港站東涌線 HOK 30舖位,"Concession No. HOK 30, Tung Chung Line Concourse, Lantau Airport Railway (LAR), HK Station.",FALSE
1218,617,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.32876,114.1899509,九龍九龍城南角道24號景輝閣地下3號舖,"Shop 3 G/F, Kingsfield Court, 24 Nam Kok Road, Kowloon City, Kowloon",TRUE
914,402,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3274454,114.1875297,九龍九龍城太子道西362-364號地下C號舖,"Shop C, G/F., 362-364 Prince Edward Road West, Kowloon City, KLN",TRUE
1444,800,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3307992,114.1928948,九龍九龍城沙浦道46號豪門地下2B號舖,"Shop No. 2B, G/F., Le Billionnaire, No. 46 Sa Po Road, Kowloon City, Kowloon",TRUE
926,410,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3303913,114.1882237,九龍九龍城獅子石道87號地下,"G/F., No.87 Lion Rock Road, Kowloon City, Kowloon",TRUE
706,284,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3290927,114.1877924,九龍九龍城衙前圍道132-134號福興大廈地下5號舖位,"Shop 5, G/F. Fuk Hing Building, 132-134 Nga Tsin Wai Road, Kln City, KLN",TRUE
77,17,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3291059,114.1894168,九龍九龍城衙前圍道96號地下A-D舖,"Shop A-D, G/F., Leung Ling House, 96 Nga Tsin Wai Rd, Kowloon City, Kln",TRUE
231,70,7-Eleven 九龍城,7-Eleven Kowloon City,九龍城,Kowloon City,22.3339166,114.1925633,九龍東頭村旺東樓地下2號舖,"Shop 2, Wong Tung House, Tung Tau Estate II, Kln",TRUE
1055,497,7-Eleven 九龍城 (非24小時營業),7-Eleven Kowloon City (Non-24 Hours),九龍城,Kowloon City,22.330988,114.188216,九龍九龍城賈炳達道128號九龍城廣場 LG02號舖,"Shop LG02, Kowloon City Plaza, 128 Carpenter Road, Kowloon City, KLN",FALSE
1211,612,7-Eleven 九龍塘,7-Eleven Kowloon Tong,九龍塘,Kowloon Tong,22.3395633,114.1808442,"九龍九龍塘聯合道320號建新中心地下11, 12及18號舖","Shop 11, 12 & 18 on G/F., Franki Centre, 320 Junction Road, Kowloon Tong, Kowloon",TRUE
764,321,7-Eleven 九龍塘 (非24小時營業),7-Eleven Kowloon Tong (Non-24 Hours),九龍塘,Kowloon Tong,22.33685793,114.1758871,九龍塘地鐵站2號舖(閘內),Kiosk KOT 2 at MTR Kowloon Tong Station,FALSE
791,329,7-Eleven 九龍塘 (非24小時營業),7-Eleven Kowloon Tong (Non-24 Hours),九龍塘,Kowloon Tong,22.33640143,114.1765255,九龍塘火車 (地面沙福道出口),"Shop KOT 122, Unpaid Concourse at MTR Kowloon Tong Station (Southern Concourse), Kowloon",FALSE
792,330,7-Eleven 九龍塘 (非24小時營業),7-Eleven Kowloon Tong (Non-24 Hours),九龍塘,Kowloon Tong,22.33712587,114.1755706,九龍塘火車站10號舖(近又一城出口),"Shop KOT 206, Unpaid Concourse at MTR Kowloon Tong Station, Kowloon",FALSE
1259,646,7-Eleven 九龍塘 (非24小時營業),7-Eleven Kowloon Tong (Non-24 Hours),九龍塘,Kowloon Tong,22.33712091,114.1759689,港鐵九龍塘站KOT 113號舖,"Shop No. KOT 113 at Kowloon Tong Station, Kowloon",FALSE
1310,686,7-Eleven 九龍塘 (非24小時營業),7-Eleven Kowloon Tong (Non-24 Hours),九龍塘,Kowloon Tong,22.33715564,114.1759461,港鐵九龍塘站KOT 121號舖,"Shop No. KOT 121, Paid Concourse, MTR Kowloon Tong (East Rail Line) Station",FALSE
