@relation 'pg_711-weka.filters.unsupervised.attribute.Remove-R1-5,9-11'

@attribute District {'Sheung Shui','Sheung Wan',Central,'Kowloon City','Kowloon Tong','Kowloon Bay',Jordan,Homantin,'Yuen Long','North Point',Mid-Level,Southern,'To Kwa Wan','Tai Wai','Tai Po',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Tseung Kwan O','Siu Sai Wan','Tsim Sha Tsui','Tsim Sha Tsui East','Tuen Mun','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Airport,Shatin,'Yau Tong',Yaumatei,'Sham Shui Po','Wan Chai','Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping','Shau Kei Wan',Fanling,'Hung Hom','Lo Wu','Mei Foo','Tsuen Wan','Lai Chi Kok','Lok Ma Chau','Kwai Chung','Lam Tin','Sai Wan Ho',Western,'Sai Kung','Kwun Tong','Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Cheung Sha Wan','Cheung Chau','Tsing Yi',Aberdeen,'Ma On Shan','Quarry Bay','Ap Lei Chau','Wong Tai Sin'}
@attribute Lat numeric
@attribute Long numeric

@data
'Tsim Sha Tsui',22.301793,114.175515
'Tsim Sha Tsui',22.296842,114.173336
'Tsim Sha Tsui',22.29714,114.172244
'Tsim Sha Tsui',22.300823,114.173522
'Tsim Sha Tsui',22.293824,114.168605
'Tsim Sha Tsui',22.300254,114.167433
'Tsim Sha Tsui',22.297634,114.172202
'Tsim Sha Tsui',22.297564,114.172143
'Tsim Sha Tsui',22.297574,114.17218
'Tsim Sha Tsui',22.303622,114.166875
'Tsim Sha Tsui',22.304969,114.166338
'Tsim Sha Tsui East',22.299704,114.177468
'Tsim Sha Tsui East',22.29801,114.176815
'Tsim Sha Tsui East',22.298418,114.178184
'Tsim Sha Tsui East',22.300215,114.178212
'Tsim Sha Tsui East',22.295006,114.175133
'Tuen Mun',22.406396,113.962818
'Tuen Mun',22.425964,113.999436
'Tuen Mun',22.402451,113.977825
'Tuen Mun',22.381275,113.977948
'Tuen Mun',22.396536,113.976926
'Tuen Mun',22.38472,113.976771
'Tuen Mun',22.396262,113.974967
'Tuen Mun',22.399979,113.972517
'Tuen Mun',22.38756,113.975718
'Tuen Mun',22.393948,113.976205
'Tuen Mun',22.396631,113.966278
'Tuen Mun',22.398932,113.966825
'Tuen Mun',22.393209,113.977506
'Tuen Mun',22.381151,113.964367
'Tuen Mun',22.402352,113.979807
'Tuen Mun',22.373852,113.969189
'Tuen Mun',22.372567,113.966378
'Tuen Mun',22.373568,113.962322
'Tuen Mun',22.400526,113.971001
'Tuen Mun',22.407691,113.968327
'Tuen Mun',22.418775,113.985545
'Tuen Mun',22.398663,113.975113
'Tuen Mun',22.407505,113.976677
'Tuen Mun',22.37146,113.992739
'Tuen Mun',22.385692,113.980365
'Tuen Mun',22.388158,113.978938
'Tuen Mun',22.388998,113.978616
'Tuen Mun',22.384097,113.96675
'Tuen Mun',22.382513,113.966183
'Tuen Mun',22.366195,114.058911
'Tuen Mun',22.39488,113.973112
'Tuen Mun',22.410984,113.978519
'Tuen Mun',22.400547,113.97437
'Tuen Mun',22.392157,113.975864
'Tuen Mun',22.395395,113.973906
'Tuen Mun',22.395991,113.969538
'Tuen Mun',22.382541,113.977783
'Tuen Mun',22.367231,114.012972
'Tuen Mun',22.374663,113.963247
'Tuen Mun',22.384158,113.974356
'Tuen Mun',22.367742,114.060915
'Tuen Mun',22.411896,113.978562
'Tuen Mun',22.394469,113.973026
'Choi Hung',22.333553,114.209224
'Choi Hung',22.329623,114.205987
'Choi Hung',22.342703,114.208272
'Choi Hung',22.33461,114.206708
'Choi Hung',22.335256,114.218292
'Choi Hung',22.332804,114.214699
'Choi Hung',22.340605,114.210513
'Choi Hung',22.333995,114.209801
'Choi Hung',22.33154,114.20292
'Choi Hung',22.334833,114.209189
'Tsz Wan Shan',22.344578,114.197701
'Tsz Wan Shan',22.34821,114.200598
'Tsz Wan Shan',22.347023,114.201759
'Tsz Wan Shan',22.348217,114.200536
'Tsz Wan Shan',22.343711,114.198311
'San Po Kong',22.336,114.202473
'San Po Kong',22.337099,114.197533
'San Po Kong',22.335226,114.195684
'San Po Kong',22.334487,114.19571
'San Po Kong',22.334683,114.197509
'San Po Kong',22.336325,114.194978
'San Po Kong',22.337434,114.195129
'San Po Kong',22.337167,114.198196
'Mong Kok',22.318713,114.158643
'Mong Kok',22.319741,114.170333
'Mong Kok',22.321147,114.167948
'Mong Kok',22.316304,114.168683
'Mong Kok',22.317044,114.168574
'Mong Kok',22.323024,114.167214
'Mong Kok',22.319704,114.171091
'Mong Kok',22.324083,114.167577
'Mong Kok',22.318747,114.17171
'Mong Kok',22.315977,114.172711
'Mong Kok',22.322149,114.169688
'Mong Kok',22.319909,114.169713
'Mong Kok',22.320274,114.167128
'Mong Kok',22.317914,114.168744
'Mong Kok',22.314386,114.167832
'Mong Kok',22.323655,114.169876
'Mong Kok',22.318083,114.171832
'Mong Kok',22.315587,114.164389
'Mong Kok',22.315009,114.169373
'Mong Kok',22.317487,114.168915
'Mong Kok',22.31853,114.169063
'Mong Kok',22.317764,114.174613
'Mong Kok',22.318378,114.175096
'Mong Kok',22.316973,114.171468
'Mong Kok',22.31963,114.169958
'Mong Kok',22.316902,114.172583
'Mong Kok',22.321391,114.170301
'Mong Kok',22.31836,114.170662
'Mong Kok',22.319761,114.170448
'Mong Kok',22.325594,114.17001
'Mong Kok',22.315914,114.169338
'Mong Kok',22.316713,114.161513
'Mong Kok',22.318761,114.174918
'Mong Kok',22.319222,114.169375
'Mong Kok',22.324837,114.17178
'Mong Kok',22.32283,114.172776
'Mong Kok',22.322924,114.172583
'Mong Kok',22.318091,114.160051
'Mong Kok',22.321733,114.17262
'Tung Chung',22.288868,113.939692
'Tung Chung',22.281452,113.93496
'Tung Chung',22.288871,113.943569
'Tung Chung',22.289548,113.941602
'Tung Chung',22.289506,113.941682
'Tung Chung',22.289121,113.94129
'Chai Wan',22.27696,114.239605
'Chai Wan',22.262581,114.251914
'Chai Wan',22.265095,114.248152
'Chai Wan',22.264073,114.237033
'Chai Wan',22.264105,114.239671
'Chai Wan',22.263889,114.240239
'Chai Wan',22.269452,114.236375
'Chai Wan',22.26686,114.235195
'Chai Wan',22.26569,114.240954
'Chai Wan',22.26309,114.239032
'Chai Wan',22.267568,114.23294
'Chai Wan',22.262141,114.235411
'Chai Wan',22.277636,114.238951
'Chai Wan',22.260642,114.231076
'Chai Wan',22.263321,114.235118
'Chai Wan',22.262698,114.235899
'Lok Fu',22.337567,114.187335
'Lok Fu',22.340909,114.187252
Airport,22.298909,113.92874
Airport,22.316503,113.934362
Airport,22.314885,113.934329
Airport,22.307619,113.917215
Airport,22.314148,113.930812
Airport,22.31482,113.933807
Airport,22.297663,113.924586
Airport,22.294914,113.925959
Airport,22.321207,113.943833
Airport,22.303808,113.901851
Airport,22.318205,113.944034
Shatin,22.376354,114.19083
Shatin,22.375443,114.19405
Shatin,22.384114,114.197978
Shatin,22.383852,114.2146
Shatin,22.381637,114.215334
Shatin,22.381994,114.205241
Shatin,22.369856,114.186391
Shatin,22.37213,114.183159
Shatin,22.377398,114.193874
Shatin,22.379572,114.196473
Shatin,22.377688,114.194207
Shatin,22.381463,114.195569
Shatin,22.384747,114.190569
Shatin,22.399852,114.201808
Shatin,22.387639,114.195548
Shatin,22.3875,114.195478
Shatin,22.373169,114.18682
Shatin,22.373018,114.177179
Shatin,22.379956,114.199091
Shatin,22.365465,114.178371
