ShopName,Address_FullAddress,Address_Lat,Address_Lng,Address_LocationType,Address_PlaceID,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEAN SKINCARE Centre,"Room 807,8/F Hollywood Plaza,610 Nathan Road,Mongkok,Kowloon, Kowloon, Hong Kong",22.3168949,114.1700177,ROOFTOP,ChIJCxyyBscABDQRaNzbWq80rDk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISSE Medical Spa,"Room 1601 & 1602B, Century Square, 1-13 D'Aguilar Street, Central District, Hong Kong",22.297684,114.169217,ROOFTOP,ChIJuTp8n_IABDQRTWJuVL7V-yg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bseido Group,"Rm2005, 655 Nathan Road, 00000 Mong Kok, Hong Kong",22.3185003,114.1692486,ROOFTOP,ChIJhQYWvscABDQRxLR7aS-hGtA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauti360 美容優惠資訊,"Room 406, Kin Wing Industrial Building, 33 Kin Wing Street, Tuen Mun, Tuen Mun",22.3964789,113.9683763,ROOFTOP,EkY0MDYsIEtpbiBXaW5nIEluZHVzdHJpYWwgQnVpbGRpbmcsIDMzIEtpbiBXaW5nIFN0LCBUdWVuIE11biwgSG9uZyBLb25n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miki Eyelash Beauty 日韓式植眼睫毛,"九龍觀塘開源道 駱駝漆大廈2座 9樓 D11室, 852 Hong Kong",22.3100779,114.2255235,ROOFTOP,ChIJlXn5akUBBDQR6JJqGzuxJKs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spa Beaut? Par Zai,"12/F Sea Bird House 22-28 Wyndham Street, Central District, Hong Kong",22.2805999,114.1561741,ROOFTOP,ChIJr9kp1GQABDQRtrifZYUTpWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVILLON MEDSPA,"RM 1503-06 Hang Seng TST Building, 18 Carnarvon Road, TST (MTR Exit B2), Hong Kong",22.299033,114.1733814,ROOFTOP,ChIJrVlH2e0ABDQRi8RcerFRPUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink makeup,"九龍尖沙咀漆咸道南45-51號其士大廈尖東堡B76鋪, 00852 Hong Kong",22.2988729,114.1755936,ROOFTOP,ChIJWxtgQ-4ABDQR0s9qrZxhPew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Care HK,"Shop 1003, 1/F, Metro City Plaza Phase Two, Shop 1003, 1/F, Metro City Plaza Phase Two, Tseung Kwan O, Hong Kong",22.320684,114.256963,ROOFTOP,ChIJTyMjCQwEBDQRUW1fsqA10aQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosbeautic Loft,"Lee King Industrial Building, 12 Ng Fong Street, NA Hong Kong",22.3378142,114.1999012,ROOFTOP,ChIJ___veNoGBDQRhE_N96yV35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Face 素顏美肌,"Office 803, Hon Kwok Jordan CTR, 7 HillWood Road, Tsim Sha Tsui, Hong Kong",22.3029028,114.1724997,ROOFTOP,EkQ4MDMsIEhvbiBLd29rIEpvcmRhbiBDZW50cmUsIDcgSGlsbHdvb2QgUmQsIFRzaW0gU2hhIFRzdWksIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konzept hair.store（染護店）,"尖沙咀金巴利街7-11號安聯大廈5B, 852 Hong Kong",22.300405,114.174431,ROOFTOP,ChIJnTCEj-4ABDQRNkfwOZbq5p4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lashy Lashy BY Cherie's Eyelash Beauty,"No.10 Shing Yip Street,T G Plaza ,25/F RM C1,Kwun Tong, 000000 Hong Kong",22.3097559,114.2274805,ROOFTOP,EikxMCwgMjUgU2hpbmcgWWlwIFN0LCBLd3VuIFRvbmcsIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nail Corner,"尖沙咀北京道65-69號環球商業大廈702室, 000852 Hong Kong",22.2961788,114.171594,ROOFTOP,ElAwMDA4NTIsIFVuaXZlcnNhbCBDb21tZXJjaWFsIEJ1aWxkaW5nLCA2NS02OSBQZWtpbmcgUmQsIFRzaW0gU2hhIFRzdWksIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS House,"Shop B86, Basement, TST Plaza, Chevalier House, 45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong, Hong Kong",22.2988729,114.1755936,ROOFTOP,ChIJWxtgQ-4ABDQR0s9qrZxhPew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigo Beaute,"旺角西洋菜南街168號8樓802室, Hong Kong",22.320758,114.169894,ROOFTOP,EjE4MDIsIDE2OCBTYWkgWWV1bmcgQ2hvaSBTdCBTLCBNb25nIEtvaywgSG9uZyBLb25n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smile Center,"17/F, 1 Lan Kwai Fong, Central, Hong Kong",22.280759,114.155328,ROOFTOP,ChIJV8kRKXsABDQRMI2HTZ4piwY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Square 夢工坊,"九龍灣宏開道17號順發工業大?一樓(總店), Hong Kong",22.32364,114.210569,ROOFTOP,ChIJI9P2vjQBBDQRY5w2V7n5ZmQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Skin Surgery Centre,"香港中環皇后大道中36號興瑋大廈17樓全層, Central District, Hong Kong",22.281824,114.156259,ROOFTOP,ChIJNWgatmQABDQRCNM3OiCx2UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERMA 21 Medical,"旺角彌敦道639號雅蘭中心一期15樓1501-1522室, Hong Kong",22.317957,114.169279,ROOFTOP,ChIJm_pAoscABDQREKlnvWMoghg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merry Nail Spa 專業美甲、新娘甲藝、手部/腳部護理,"尖沙咀堪富利士道11號堪富利士大?6樓601室, hong kong Tsim Sha Tsui, Hong Kong",22.2980956,114.1729874,ROOFTOP,EkQ2MDEsIEh1bXBocmV5J3MgQnVpbGRpbmcsIDExIEh1bXBocmV5cyBBdmUsIFRzaW0gU2hhIFRzdWksIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeBee Nail,"九龍觀塘開源道62號駱駝漆大廈1座13/F A2室, Hong Kong",22.3104591,114.2251647,ROOFTOP,EkYxMywgQ2FtZWwgUGFpbnQgQnVpbGRpbmcgQmxvY2sgMSwgNjIgSG9pIFl1ZW4gUmQsIEt3dW4gVG9uZywgSG9uZyBLb25n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiQueen,"尖沙咀厚福街宏生大廈5樓508室, 九龍 Hong Kong",22.299334,114.173736,ROOFTOP,ChIJdRUUeO4ABDQRkUH4IR4xV7w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosy Corner Nail Shop,荃灣大河道18號地皇廣場3樓347號舖,22.372626,114.116338,ROOFTOP,ChIJycuij-34AzQRiPreZFoOUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss Makeup,"觀塘巧明街116-118號萬年工業大廈2樓D8室, Kwun Tong, Hong Kong",22.3110271,114.2243288,ROOFTOP,EkpkOCwgTWFubmluZyBJbmR1c3RyaWFsIEJ1aWxkaW5nLCAxMTYtMTE4IEhvdyBNaW5nIFN0LCBLd3VuIFRvbmcsIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di Makeup,"觀塘開聯工業中心B座8樓807b室, Hong Kong",22.3106862,114.2240038,ROOFTOP,EkY4MDdiLCBIb2kgTHVlbiBJbmR1c3RyaWFsIENlbnRyZSwgNTUgSG9pIFl1ZW4gUmQsIEt3dW4gVG9uZywgSG9uZyBLb25n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seese Make Up,"852 Tsim Sha Tsui, Hong Kong",22.297877,114.1679931,ROOFTOP,ChIJqwS2q_IABDQRY0_iMoHt4Jg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Lune Store 護膚美妝雜貨店,"852 Kowloon, Hong Kong",22.2828804,114.1563397,ROOFTOP,ChIJAQAkqWQABDQRz9lG5vfZxCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeautyNet 韓國護膚品專賣店,九龍觀塘開源道60號 駱駝漆大廈三座5樓K室,22.310132,114.22507,ROOFTOP,ChIJq6oabUUBBDQREl_z9a8F0Xw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty Ranking Cosmetics co. 美妝店,"九龍彌敦道577號高氏大樓 7樓C, 852 Kowloon, Hong Kong",22.3151387,114.1699685,ROOFTOP,Ejg4NTIsIEtvJ3MgSG91c2UsIDU3Ny01NzdBIE5hdGhhbiBSZCwgTW9uZyBLb2ssIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reenex膠原自生,"銅鑼灣時代廣場1座36樓, Hong Kong",22.2781556,114.18203,ROOFTOP,ChIJ_bAR11AABDQRGxsNeGwaZYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty in eye,尖沙咀金馬倫道5?太興廣場8樓801室 (敬請預約),22.2782714,114.171882,ROOFTOP,ChIJ8_qgXlwABDQRpv7EdYPCyCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty store,旺角西洋菜南街 5 號 好望角大廈12樓03室,22.4419791,114.0308911,ROOFTOP,ChIJAQBkAgr6AzQRke9h8jP1LeU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal 韓國半永久化妝 霧眉 眉粉眉 韓式 美瞳內眼線 髮線填補,門市地址：旺角弼街9號恆利中心8樓,22.3217795,114.1662016,ROOFTOP,ChIJyQZMk7cABDQRpfQDXVEfUyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinca beauty,尖沙咀加拿芬道加拿芬廣場703A室,22.2993152,114.173438,ROOFTOP,ChIJv9Id2u0ABDQRJNHkLJH6fz0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Secret Aesthetic Center,"1205/F,No.20-20C Carnarvon Road,Tsimshatsui,Kwokloon, Kowloon, Hong Kong",22.2992107,114.1732428,ROOFTOP,ChIJX98h2u0ABDQRZspLYuDBgNk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
